task,date,time
Building Time Tracker,2022-06-06,5400.0
Studying,2022-06-07,4452.795738220215
Studying,2022-06-08,4613.843386173248
Studying,2022-06-24,5.730925798416138
studying,2022-06-24,1.7947959899902344
Studying,2022-06-24,28.55829358100891
