Date,Passengers
2019-01-05,2345103.0
2019-01-06,2202111.0
2019-01-07,2150571.0
2019-01-08,1975947.0
2019-01-09,2229391.0
2019-01-10,2044043.0
2019-01-11,1733739.0
2019-01-12,1739642.0
2019-01-13,1955200.0
2019-01-14,1959788.0
2019-01-15,1604862.0
2019-01-16,1970450.0
2019-01-17,1886642.0
2019-01-18,1605758.0
2019-01-19,1786012.0
2019-01-20,2139242.0
2019-01-21,2271398.0
2019-01-22,1600698.0
2019-01-23,1776235.0
2019-01-24,2179066.0
2019-01-25,1804629.0
2019-01-26,1763884.0
2019-01-27,1991328.0
2019-01-28,2052814.0
2019-01-29,1571077.0
2019-01-30,2010374.0
2019-01-31,1862420.0
2019-02-01,1534386.0
2019-02-02,1593697.0
2019-02-03,1938817.0
2019-02-04,2078169.0
2019-02-05,1591591.0
2019-02-06,1792677.0
2019-02-07,2001482.0
2019-02-08,1655868.0
2019-02-09,1756152.0
2019-02-10,2064640.0
2019-02-11,2134744.0
2019-02-12,1648328.0
2019-02-13,2105696.0
2019-02-14,2055827.0
2019-02-15,1620239.0
2019-02-16,1950385.0
2019-02-17,2227730.0
2019-02-18,1922613.0
2019-02-19,2147045.0
2019-02-20,2476445.0
2019-02-21,2177690.0
2019-02-22,2022861.0
2019-02-23,2351856.0
2019-02-24,2415570.0
2019-02-25,2331841.0
2019-02-26,2274217.0
2019-02-27,2197938.0
2019-02-28,2160322.0
2019-03-01,1861286.0
2019-03-02,2015079.0
2019-03-03,2307393.0
2019-03-04,2257920.0
2019-03-05,1979558.0
2019-03-06,2143619.0
2019-03-07,2402692.0
2019-03-08,2543689.0
2019-03-09,2156262.0
2019-03-10,2485430.0
2019-03-11,2378673.0
2019-03-12,2122898.0
2019-03-13,2187298.0
2019-03-14,2503924.0
2019-03-15,2634215.0
2019-03-16,2274658.0
2019-03-17,2545742.0
2019-03-18,2465709.0
2019-03-19,2177929.0
2019-03-20,2320885.0
2019-03-21,2513231.0
2019-03-22,2559307.0
2019-03-23,2227181.0
2019-03-24,2542643.0
2019-03-25,2434370.0
2019-03-26,2151913.0
2019-03-27,2273811.0
2019-03-28,2487162.0
2019-03-29,2538384.0
2019-03-30,2172920.0
2019-03-31,2510294.0
2019-04-01,2360053.0
2019-04-02,2026256.0
2019-04-03,2151626.0
2019-04-04,2411500.0
2019-04-05,2476884.0
2019-04-06,2011715.0
2019-04-07,2462929.0
2019-04-08,2384091.0
2019-04-09,2091056.0
2019-04-10,2229276.0
2019-04-11,2487398.0
2019-04-12,2590499.0
2019-04-13,2059142.0
2019-04-14,2446801.0
2019-04-15,2484580.0
2019-04-16,2208688.0
2019-04-17,2317381.0
2019-04-18,2616158.0
2019-04-19,2457133.0
2019-04-20,1988205.0
2019-04-21,2356802.0
2019-04-22,2594171.0
2019-04-23,2227475.0
2019-04-24,2254209.0
2019-04-25,2526961.0
2019-04-26,2521897.0
2019-04-27,1990464.0
2019-04-28,2506809.0
2019-04-29,2412770.0
2019-04-30,2102068.0
2019-05-01,2256442.0
2019-05-02,2499461.0
2019-05-03,2546029.0
2019-05-04,1968278.0
2019-05-05,2512598.0
2019-05-06,2470969.0
2019-05-07,2106597.0
2019-05-08,2270662.0
2019-05-09,2555342.0
2019-05-10,2602631.0
